Joke ID,Joke Text,Category,Rating,Length,Maturity Level,Sentiment Score,Contextual Information,Usage Context
24,"What did the ocean say to the beach? Nothing, it just waved.",Pun,5.0,Short,G,0.8,Nature reference,Icebreaker
25,"Did you hear about the restaurant on the moon? Great food, no atmosphere.",One-liner,3.6,Long,PG,0.5,Science joke,Party joke
26,Why was the math book sad? It had too many problems.,Pun,4.7,Long,Adult,0.6,Math joke,General use
27,"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",Pun,4.2,Medium,G,0.8,Tech reference,Kids' party
28,Why don’t skeletons fight each other? They don’t have the guts.,Pun,4.5,Short,G,0.6,Halloween reference,Office humor
29,Why don’t programmers like nature? It has too many bugs.,Pun,3.5,Short,PG,0.8,Tech reference,General use
30,How do you organize a space party? You planet.,Pun,4.9,Long,PG,0.8,Science joke,Kids' party
31,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.0,Long,G,0.5,Agricultural reference,Icebreaker
32,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.9,Short,G,0.7,Everyday humor,Party joke
33,What’s orange and sounds like a parrot? A carrot!,Pun,3.4,Short,PG,0.9,Wordplay,Office humor
34,Why don’t scientists trust atoms? Because they make up everything!,Pun,3.7,Medium,PG,0.9,Science joke,Office humor
35,"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",Pun,4.1,Short,PG,1.0,Tech reference,Party joke
36,How do you organize a space party? You planet.,Pun,3.9,Short,G,0.6,Science joke,General use
37,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.1,Long,PG,0.8,Everyday humor,Office humor
38,Why don’t skeletons fight each other? They don’t have the guts.,Pun,3.8,Short,Adult,0.6,Halloween reference,General use
39,Did you hear about the mathematician who’s afraid of negative numbers? He will stop at nothing to avoid them.,Pun,4.2,Medium,G,1.0,Math joke,Party joke
40,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,3.5,Short,Adult,0.7,Everyday humor,Kids' party
41,Why don’t programmers like nature? It has too many bugs.,Pun,3.1,Medium,PG,0.9,Tech reference,Kids' party
42,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.1,Short,Adult,0.6,Agricultural reference,Party joke
43,Why don’t programmers like nature? It has too many bugs.,Pun,4.4,Medium,PG,0.9,Tech reference,Party joke
44,Why don’t skeletons fight each other? They don’t have the guts.,Pun,4.7,Short,G,1.0,Halloween reference,General use
45,Why did the bicycle fall over? Because it was two-tired.,Pun,3.8,Long,PG,0.9,Transportation reference,Office humor
46,Did you hear about the mathematician who’s afraid of negative numbers? He will stop at nothing to avoid them.,Pun,3.9,Short,PG,0.9,Math joke,Party joke
47,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,3.6,Long,Adult,0.9,Math joke,Office humor
48,How does a penguin build its house? Igloos it together!,Pun,3.3,Medium,Adult,1.0,Animal reference,General use
49,Why don’t programmers like nature? It has too many bugs.,Pun,3.4,Long,PG,0.6,Tech reference,Icebreaker
50,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,4.7,Medium,G,1.0,Everyday humor,Office humor
51,"My boss told me to have a good day, so I went home.",One-liner,4.1,Medium,Adult,0.7,Work humor,General use
52,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.2,Long,G,0.9,Everyday humor,Icebreaker
53,Why was the math book sad? It had too many problems.,Pun,4.7,Short,G,0.9,Math joke,Icebreaker
54,Why did the bicycle fall over? Because it was two-tired.,Pun,4.0,Short,PG,0.8,Transportation reference,General use
55,"What did the ocean say to the beach? Nothing, it just waved.",Pun,4.3,Short,Adult,0.5,Nature reference,Kids' party
56,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,3.4,Short,G,0.9,Everyday humor,Icebreaker
57,"Did you hear about the restaurant on the moon? Great food, no atmosphere.",One-liner,3.7,Medium,Adult,0.9,Science joke,General use
58,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.2,Medium,PG,0.6,Everyday humor,General use
59,Why don’t scientists trust atoms? Because they make up everything!,Pun,3.3,Long,PG,0.8,Science joke,Party joke
60,How does a penguin build its house? Igloos it together!,Pun,3.6,Medium,PG,0.7,Animal reference,Kids' party
61,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,4.0,Short,Adult,0.9,Math joke,Kids' party
62,I’m on a whiskey diet. I’ve lost three days already.,One-liner,4.4,Medium,Adult,0.5,Alcohol reference,Office humor
63,Why don’t skeletons fight each other? They don’t have the guts.,Pun,4.9,Medium,G,0.5,Halloween reference,Kids' party
64,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.3,Medium,G,0.7,Agricultural reference,Icebreaker
65,"Did you hear about the restaurant on the moon? Great food, no atmosphere.",One-liner,4.8,Short,G,0.5,Science joke,Party joke
66,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.1,Long,PG,0.8,Everyday humor,Office humor
67,"I got hit in the head with a can of soda. Luckily, it was a soft drink.",Pun,3.9,Long,PG,0.8,Everyday humor,Kids' party
68,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.7,Long,G,0.8,Everyday humor,General use
69,How does a penguin build its house? Igloos it together!,Pun,4.8,Short,Adult,0.8,Animal reference,Icebreaker
70,What’s orange and sounds like a parrot? A carrot!,Pun,4.4,Short,PG,0.8,Wordplay,Kids' party
71,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.1,Short,PG,0.6,Everyday humor,Office humor
72,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,4.7,Long,G,0.7,Everyday humor,Icebreaker
73,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,3.5,Medium,G,0.5,Math joke,General use
74,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,3.1,Medium,PG,0.6,Seafood reference,Party joke
75,I’m reading a book on anti-gravity. It’s impossible to put down.,Pun,3.1,Long,G,0.9,Science joke,Kids' party
76,Why did the golfer bring two pairs of pants? In case he got a hole in one.,Pun,3.6,Long,PG,0.8,Sports reference,Kids' party
77,"My boss told me to have a good day, so I went home.",One-liner,3.1,Long,PG,0.8,Work humor,Icebreaker
78,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.8,Medium,G,0.9,Everyday humor,General use
79,I would avoid the sushi if I was you. It’s a little fishy.,Pun,3.4,Short,G,0.5,Food reference,Kids' party
80,Why don’t programmers like nature? It has too many bugs.,Pun,3.5,Long,G,0.8,Tech reference,Icebreaker
81,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,3.8,Long,G,0.8,Everyday humor,Office humor
82,"My boss told me to have a good day, so I went home.",One-liner,5.0,Short,Adult,0.6,Work humor,Icebreaker
83,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,4.6,Short,G,0.5,Everyday humor,Icebreaker
84,What’s orange and sounds like a parrot? A carrot!,Pun,3.7,Short,G,0.8,Wordplay,Office humor
85,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.5,Short,PG,0.9,Everyday humor,Kids' party
86,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.6,Medium,PG,0.9,Everyday humor,Office humor
87,I would avoid the sushi if I was you. It’s a little fishy.,Pun,3.1,Long,Adult,0.9,Food reference,General use
88,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,4.5,Short,PG,0.5,Everyday humor,Icebreaker
89,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,4.7,Short,PG,0.9,Everyday humor,Icebreaker
90,Why was the math book sad? It had too many problems.,Pun,4.2,Short,Adult,0.5,Math joke,Icebreaker
91,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,3.8,Long,PG,0.8,Math joke,Kids' party
92,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,3.1,Long,PG,0.9,Everyday humor,General use
93,I would avoid the sushi if I was you. It’s a little fishy.,Pun,3.8,Short,G,0.7,Food reference,Icebreaker
94,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,4.3,Short,Adult,0.9,Math joke,Icebreaker
95,"I used to play piano by ear, but now I use my hands.",One-liner,3.8,Long,Adult,0.7,Music reference,Party joke
96,Why don’t scientists trust atoms? Because they make up everything!,Pun,4.7,Short,G,0.5,Science joke,Kids' party
97,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,3.6,Short,Adult,0.6,Everyday humor,General use
98,Why don’t scientists trust atoms? Because they make up everything!,Pun,3.4,Short,PG,0.5,Science joke,Icebreaker
99,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,3.2,Short,G,0.7,Everyday humor,Party joke
100,Why was the math book sad? It had too many problems.,Pun,4.8,Short,Adult,0.6,Math joke,Icebreaker
101,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,3.3,Short,G,0.8,Everyday humor,Kids' party
102,I’m on a whiskey diet. I’ve lost three days already.,One-liner,3.2,Long,Adult,0.6,Alcohol reference,Icebreaker
103,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,3.8,Short,G,0.5,Math joke,Kids' party
104,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,4.9,Medium,Adult,0.7,Everyday humor,Party joke
105,"Did you hear about the restaurant on the moon? Great food, no atmosphere.",One-liner,4.0,Medium,G,0.6,Science joke,General use
106,What’s orange and sounds like a parrot? A carrot!,Pun,4.9,Medium,G,0.5,Wordplay,General use
107,"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",Pun,3.8,Short,PG,0.6,Tech reference,General use
108,I’m on a whiskey diet. I’ve lost three days already.,One-liner,3.6,Medium,G,0.8,Alcohol reference,Office humor
109,Did you hear about the mathematician who’s afraid of negative numbers? He will stop at nothing to avoid them.,Pun,4.1,Short,G,0.6,Math joke,Party joke
110,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,3.0,Medium,Adult,1.0,Math joke,Party joke
111,"What did the ocean say to the beach? Nothing, it just waved.",Pun,3.4,Short,Adult,0.5,Nature reference,Party joke
112,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,3.2,Long,G,0.8,Everyday humor,Party joke
113,How do you organize a space party? You planet.,Pun,4.8,Medium,G,0.9,Science joke,Party joke
114,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.8,Medium,PG,0.8,Agricultural reference,Office humor
115,Want to hear a joke about construction? I’m still working on it.,Pun,3.0,Medium,G,0.8,Everyday humor,Kids' party
116,Why don’t programmers like nature? It has too many bugs.,Pun,3.0,Medium,G,0.6,Tech reference,Party joke
117,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,3.5,Medium,PG,0.7,Everyday humor,Kids' party
118,How does a penguin build its house? Igloos it together!,Pun,4.3,Long,PG,0.6,Animal reference,Office humor
119,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.2,Short,G,0.6,Agricultural reference,General use
120,Why did the bicycle fall over? Because it was two-tired.,Pun,4.6,Short,G,0.7,Transportation reference,Office humor
121,"What did the ocean say to the beach? Nothing, it just waved.",Pun,4.4,Short,G,0.6,Nature reference,Kids' party
122,Why don’t scientists trust atoms? Because they make up everything!,Pun,4.6,Medium,PG,0.9,Science joke,General use
123,"I used to play piano by ear, but now I use my hands.",One-liner,3.2,Medium,G,0.8,Music reference,Party joke
124,"What did the ocean say to the beach? Nothing, it just waved.",Pun,4.7,Long,G,0.6,Nature reference,Icebreaker
125,Did you hear about the mathematician who’s afraid of negative numbers? He will stop at nothing to avoid them.,Pun,4.2,Short,PG,0.7,Math joke,Party joke
126,Why don’t scientists trust atoms? Because they make up everything!,Pun,4.0,Medium,PG,0.6,Science joke,Office humor
127,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.1,Medium,G,0.7,Agricultural reference,General use
128,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.4,Medium,Adult,1.0,Everyday humor,Party joke
129,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.0,Short,G,0.7,Everyday humor,Kids' party
130,What’s orange and sounds like a parrot? A carrot!,Pun,4.8,Short,G,0.8,Wordplay,Party joke
131,Why don’t programmers like nature? It has too many bugs.,Pun,4.8,Medium,PG,0.7,Tech reference,Icebreaker
132,I’m reading a book on anti-gravity. It’s impossible to put down.,Pun,3.9,Long,PG,0.5,Science joke,Kids' party
133,Why don’t skeletons fight each other? They don’t have the guts.,Pun,3.5,Short,Adult,0.6,Halloween reference,Kids' party
134,"I used to play piano by ear, but now I use my hands.",One-liner,4.1,Medium,G,0.9,Music reference,Office humor
135,Why was the math book sad? It had too many problems.,Pun,3.8,Medium,G,0.8,Math joke,Icebreaker
136,Want to hear a joke about construction? I’m still working on it.,Pun,4.9,Medium,G,0.9,Everyday humor,Party joke
137,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,3.5,Long,PG,0.5,Everyday humor,Kids' party
138,I’m reading a book on anti-gravity. It’s impossible to put down.,Pun,3.8,Long,G,0.6,Science joke,Party joke
139,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.9,Short,G,0.6,Everyday humor,General use
140,"My boss told me to have a good day, so I went home.",One-liner,3.5,Medium,Adult,0.7,Work humor,Party joke
141,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.2,Long,Adult,0.6,Agricultural reference,Kids' party
142,Want to hear a joke about construction? I’m still working on it.,Pun,4.6,Short,Adult,0.8,Everyday humor,Kids' party
143,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,4.7,Long,Adult,0.9,Math joke,Party joke
144,"Did you hear about the restaurant on the moon? Great food, no atmosphere.",One-liner,4.6,Long,G,0.6,Science joke,General use
145,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,4.5,Long,Adult,0.8,Everyday humor,Party joke
146,How does a penguin build its house? Igloos it together!,Pun,3.6,Medium,Adult,1.0,Animal reference,Party joke
147,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,3.8,Long,G,0.8,Everyday humor,Party joke
148,How does a penguin build its house? Igloos it together!,Pun,4.6,Long,PG,0.5,Animal reference,General use
149,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.5,Short,Adult,0.8,Everyday humor,Party joke
150,"I got hit in the head with a can of soda. Luckily, it was a soft drink.",Pun,4.0,Long,PG,0.8,Everyday humor,Party joke
151,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,3.8,Short,Adult,0.7,Everyday humor,Office humor
152,Why don’t skeletons fight each other? They don’t have the guts.,Pun,3.2,Medium,PG,0.8,Halloween reference,Kids' party
153,What’s orange and sounds like a parrot? A carrot!,Pun,3.0,Long,G,0.9,Wordplay,General use
154,Why don’t scientists trust atoms? Because they make up everything!,Pun,3.5,Medium,PG,0.7,Science joke,Office humor
155,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.4,Medium,Adult,0.9,Agricultural reference,Kids' party
156,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,4.1,Long,PG,0.7,Everyday humor,General use
157,How does a penguin build its house? Igloos it together!,Pun,4.2,Long,Adult,0.9,Animal reference,Party joke
158,Why was the math book sad? It had too many problems.,Pun,3.7,Long,G,0.9,Math joke,Kids' party
159,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,4.8,Short,Adult,0.5,Everyday humor,Icebreaker
160,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,3.8,Long,G,0.7,Everyday humor,General use
161,How does a penguin build its house? Igloos it together!,Pun,3.0,Medium,PG,0.5,Animal reference,Party joke
162,"I got hit in the head with a can of soda. Luckily, it was a soft drink.",Pun,4.2,Short,Adult,1.0,Everyday humor,Office humor
163,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.6,Short,PG,0.7,Agricultural reference,Party joke
164,"I got hit in the head with a can of soda. Luckily, it was a soft drink.",Pun,3.3,Long,Adult,0.6,Everyday humor,Icebreaker
165,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,3.2,Medium,G,0.9,Math joke,General use
166,Why don’t programmers like nature? It has too many bugs.,Pun,3.1,Medium,Adult,0.7,Tech reference,Party joke
167,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.6,Short,PG,0.5,Agricultural reference,Kids' party
168,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,4.9,Medium,PG,1.0,Everyday humor,Office humor
169,"I used to play piano by ear, but now I use my hands.",One-liner,3.9,Long,Adult,0.7,Music reference,Party joke
170,How does a penguin build its house? Igloos it together!,Pun,4.9,Short,Adult,0.5,Animal reference,Icebreaker
171,"My boss told me to have a good day, so I went home.",One-liner,4.5,Medium,PG,0.8,Work humor,Icebreaker
172,Why don’t scientists trust atoms? Because they make up everything!,Pun,4.9,Long,Adult,0.6,Science joke,Party joke
173,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.3,Long,G,0.5,Agricultural reference,Kids' party
174,What’s orange and sounds like a parrot? A carrot!,Pun,4.1,Long,PG,0.8,Wordplay,Party joke
175,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,3.7,Short,G,0.8,Everyday humor,General use
176,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.5,Long,G,0.6,Agricultural reference,Icebreaker
177,Why don’t scientists trust atoms? Because they make up everything!,Pun,4.7,Long,G,0.9,Science joke,Office humor
178,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.5,Medium,PG,0.7,Agricultural reference,Office humor
179,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.4,Short,G,0.6,Agricultural reference,Icebreaker
180,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.5,Medium,PG,0.6,Agricultural reference,Office humor
181,"I used to play piano by ear, but now I use my hands.",One-liner,4.8,Long,Adult,0.8,Music reference,Icebreaker
182,"My boss told me to have a good day, so I went home.",One-liner,4.7,Long,Adult,0.8,Work humor,Icebreaker
183,How does a penguin build its house? Igloos it together!,Pun,3.7,Long,Adult,0.7,Animal reference,Party joke
184,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,3.5,Long,Adult,0.6,Everyday humor,Kids' party
185,I’m on a whiskey diet. I’ve lost three days already.,One-liner,3.8,Long,Adult,0.9,Alcohol reference,Party joke
186,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.9,Medium,Adult,0.8,Everyday humor,General use
187,Why don’t programmers like nature? It has too many bugs.,Pun,3.9,Short,PG,0.8,Tech reference,Party joke
188,Parallel lines have so much in common. It’s a shame they’ll never meet.,Pun,3.6,Short,PG,0.8,Math joke,Icebreaker
189,Why don’t scientists trust atoms? Because they make up everything!,Pun,4.2,Medium,Adult,0.8,Science joke,General use
190,Why don’t programmers like nature? It has too many bugs.,Pun,3.7,Long,PG,0.7,Tech reference,Party joke
191,Why did the bicycle fall over? Because it was two-tired.,Pun,3.9,Long,G,0.9,Transportation reference,General use
192,"Did you hear about the restaurant on the moon? Great food, no atmosphere.",One-liner,3.7,Medium,PG,0.8,Science joke,Kids' party
193,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,4.5,Short,PG,0.7,Seafood reference,Icebreaker
194,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.7,Short,PG,0.8,Everyday humor,Icebreaker
195,Did you hear about the mathematician who’s afraid of negative numbers? He will stop at nothing to avoid them.,Pun,4.0,Short,Adult,0.8,Math joke,Party joke
196,Why did the bicycle fall over? Because it was two-tired.,Pun,4.3,Medium,G,0.7,Transportation reference,Office humor
197,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,3.2,Short,G,0.6,Everyday humor,Party joke
198,Why did the golfer bring two pairs of pants? In case he got a hole in one.,Pun,4.4,Short,PG,0.9,Sports reference,Party joke
199,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.0,Short,Adult,0.8,Agricultural reference,Office humor
200,Why did the bicycle fall over? Because it was two-tired.,Pun,5.0,Medium,G,1.0,Transportation reference,Icebreaker
201,"My boss told me to have a good day, so I went home.",One-liner,4.4,Long,Adult,0.6,Work humor,Icebreaker
202,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.2,Medium,PG,0.8,Everyday humor,General use
203,Why don’t scientists trust atoms? Because they make up everything!,Pun,3.3,Medium,PG,0.9,Science joke,Kids' party
204,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.2,Medium,G,1.0,Agricultural reference,Party joke
205,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.8,Medium,PG,0.6,Everyday humor,General use
206,Why was the math book sad? It had too many problems.,Pun,3.1,Long,Adult,0.5,Math joke,General use
207,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.2,Short,Adult,0.7,Agricultural reference,Kids' party
208,How do you organize a space party? You planet.,Pun,4.9,Short,Adult,0.9,Science joke,Office humor
209,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,4.3,Short,PG,0.8,Seafood reference,Icebreaker
210,Why did the bicycle fall over? Because it was two-tired.,Pun,4.8,Short,Adult,0.7,Transportation reference,Office humor
211,How do you organize a space party? You planet.,Pun,4.9,Medium,G,0.6,Science joke,Icebreaker
212,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,5.0,Short,Adult,1.0,Seafood reference,Icebreaker
213,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.6,Medium,Adult,0.7,Everyday humor,Icebreaker
214,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.8,Medium,Adult,0.8,Everyday humor,Kids' party
215,What’s orange and sounds like a parrot? A carrot!,Pun,4.2,Medium,Adult,0.9,Wordplay,Icebreaker
216,"What did the ocean say to the beach? Nothing, it just waved.",Pun,4.6,Long,G,0.8,Nature reference,Icebreaker
217,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,3.4,Short,G,0.7,Seafood reference,General use
218,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.9,Long,PG,0.5,Everyday humor,General use
219,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,4.4,Medium,PG,0.9,Everyday humor,Party joke
220,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,3.8,Short,Adult,1.0,Everyday humor,Icebreaker
221,I would avoid the sushi if I was you. It’s a little fishy.,Pun,4.1,Medium,Adult,1.0,Food reference,Party joke
222,What’s orange and sounds like a parrot? A carrot!,Pun,4.5,Medium,PG,0.9,Wordplay,Party joke
223,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.7,Short,PG,0.6,Agricultural reference,Office humor
224,"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",Pun,4.5,Short,G,0.8,Tech reference,Kids' party
225,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.9,Long,PG,1.0,Agricultural reference,Kids' party
226,What’s orange and sounds like a parrot? A carrot!,Pun,4.4,Long,PG,0.7,Wordplay,Kids' party
227,Why don’t scientists trust atoms? Because they make up everything!,Pun,4.0,Long,Adult,0.5,Science joke,Kids' party
228,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.6,Short,G,0.8,Agricultural reference,Party joke
229,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,3.1,Long,Adult,1.0,Seafood reference,Kids' party
230,Why don’t skeletons fight each other? They don’t have the guts.,Pun,3.3,Long,PG,0.9,Halloween reference,Office humor
231,Why don’t scientists trust atoms? Because they make up everything!,Pun,4.8,Short,G,1.0,Science joke,General use
232,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,5.0,Medium,Adult,0.5,Everyday humor,Office humor
233,I’m reading a book on anti-gravity. It’s impossible to put down.,Pun,4.6,Long,G,0.7,Science joke,Party joke
234,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,5.0,Short,G,0.6,Everyday humor,Icebreaker
235,I threw a boomerang a few years ago. I now live in constant fear.,One-liner,3.7,Medium,G,1.0,Everyday humor,Kids' party
236,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,4.5,Medium,Adult,0.7,Everyday humor,Party joke
237,I’m on a whiskey diet. I’ve lost three days already.,One-liner,3.7,Medium,Adult,0.9,Alcohol reference,Kids' party
238,"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",Pun,3.7,Long,PG,0.8,Tech reference,Icebreaker
239,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,3.1,Short,Adult,0.9,Seafood reference,Party joke
240,How do you organize a space party? You planet.,Pun,3.2,Long,Adult,0.6,Science joke,Icebreaker
241,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,3.8,Short,G,0.6,Seafood reference,Office humor
242,Why was the math book sad? It had too many problems.,Pun,4.8,Short,Adult,0.9,Math joke,Party joke
243,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.6,Long,G,0.9,Agricultural reference,Icebreaker
244,How does a penguin build its house? Igloos it together!,Pun,3.3,Long,PG,0.6,Animal reference,General use
245,Why did the golfer bring two pairs of pants? In case he got a hole in one.,Pun,3.9,Long,PG,1.0,Sports reference,Kids' party
246,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,4.5,Medium,G,0.9,Agricultural reference,Office humor
247,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.9,Medium,Adult,0.9,Agricultural reference,Kids' party
